啊哈	a'ha
已而	yi'er
已故	yi'gu
已婚	yi'hun
已极	yi'ji
已经	yi'jing
已具	yi'ju
已然	yi'ran
已往	yi'wang
已由	yi'you
已有	yi'you
已在	yi'zai
已知	yi'zhi
已知数	yi'zhi'shu
乙苯	yi'ben
乙丙橡胶	yi'bing'xiang'jiao
乙醇	yi'chun
乙二醇	yi'er'chun
乙方	yi'fang
乙醚	yi'mi
乙醛	yi'quan
乙酸	yi'suan
乙烷	yi'wan
乙烯	yi'xi
乙种维生素	yi'zhong'wei'sheng'su
乙酰	yi'xian
以北	yi'bei
以便	yi'bian
以次	yi'ci
以点带面	yi'dian'dai'mian
以东	yi'dong
以杜流弊	yi'du'liu'bi
以后	yi'hou
以及	yi'ji
以近	yi'jin
以来	yi'lai
以理服人	yi'li'fu'ren
以免	yi'mian
以南	yi'nan
以内	yi'nei
以前	yi'qian
以求	yi'qiu
以权谋私	yi'quan'mou'si
以色列	yi'se'lie
以上	yi'shang
以身作则	yi'shen'zuo'ze
以太	yi'tai
以外	yi'wai
以往	yi'wang
以为	yi'wei
以西	yi'xi
以下	yi'xia
以下犯上	yi'xia'fan'shang
以牙还牙	yi'ya'hai'ya
以远	yi'yuan
以至	yi'zhi
以至于	yi'zhi'yu
以致	yi'zhi
以资	yi'zi
艺人	yi'ren
艺术	yi'shu
艺术家	yi'shu'jia
艺术美	yi'shu'mei
艺术品	yi'shu'pin
艺术性	yi'shu'xing
艺文志	yi'wen'zhi
抑或	yi'huo
抑止	yi'zhi
抑制	yi'zhi
抑制剂	yi'zhi'ji
抑制作用	yi'zhi'zuo'yong
易爆	yi'bao
易懂	yi'dong
易耗品	yi'hao'pin
易经	yi'jing
易燃	yi'ran
易燃物	yi'ran'wu
易碎	yi'sui
易位	yi'wei
易用	yi'yong
易于	yi'yu
易与	yi'yu
亿万	yi'wan
役使	yi'shi
臆断	yi'duan
臆想	yi'xiang
臆造	yi'zao
逸出功	yi'chu'gong
逸事	yi'shi
肄业	yi'ye
疫病	yi'bing
疫苗	yi'miao
疫区	yi'qu
亦非	yi'fei
亦还	yi'hai
亦即	yi'ji
亦有之	yi'you'zhi
意大利	yi'da'li
意感	yi'gan
意见	yi'jian
意境	yi'jing
意料	yi'liao
意料之外	yi'liao'zhi'wai
意料之中	yi'liao'zhi'zhong
意料中	yi'liao'zhong
意念	yi'nian
意气	yi'qi
意气风发	yi'qi'feng'fa
意拳	yi'quan
意识	yi'shi
意识到	yi'shi'dao
意识形态	yi'shi'xing'tai
意思	yi'si
意图	yi'tu
意外	yi'wai
意味	yi'wei
意想	yi'xiang
意向	yi'xiang
意象	yi'xiang
意义	yi'yi
意愿	yi'yuan
意旨	yi'zhi
意志	yi'zhi
毅力	yi'li
毅然	yi'ran
忆苦	yi'ku
忆苦思甜	yi'ku'si'tian
义不容辞	yi'bu'rong'ci
义仓	yi'cang
义齿	yi'chi
义地	yi'di
义愤	yi'fen
义愤填膺	yi'fen'tian'ying
义和拳	yi'he'quan
义和团	yi'he'tuan
义举	yi'ju
义理	yi'li
义律	yi'lv
义卖	yi'mai
义旗	yi'qi
义气	yi'qi
义师	yi'shi
义士	yi'shi
义无返顾	yi'wu'fan'gu
义务	yi'wu
义务兵役制	yi'wu'bing'yi'zhi
义务教育	yi'wu'jiao'yu
义务劳动	yi'wu'lao'dong
义务演出	yi'wu'yan'chu
义项	yi'xiang
义形于色	yi'xing'yu'se
义学	yi'xue
义演	yi'yan
义勇	yi'yong
义勇军	yi'yong'jun
义勇军进行曲	yi'yong'jun'jin'xing'qu
义勇之气	yi'yong'zhi'qi
义战	yi'zhan
义正词严	yi'zheng'ci'yan
义肢	yi'zhi
义冢	yi'zhong
义塾	yi'shu
益虫	yi'chong
益处	yi'chu
益发	yi'fa
益鸟	yi'niao
益州	yi'zhou
溢出	yi'chu
溢洪道	yi'hong'dao
溢流	yi'liu
议案	yi'an
议长	yi'chang
议长	yi'zhang
议程	yi'cheng
议定	yi'ding
议定书	yi'ding'shu
议和	yi'he
议会	yi'hui
议会斗争	yi'hui'dou'zheng
议会制	yi'hui'zhi
议价	yi'jia
议决	yi'jue
议论	yi'lun
议事	yi'shi
议事日程	yi'shi'ri'cheng
议题	yi'ti
议席	yi'xi
议员	yi'yuan
议院	yi'yuan
译本	yi'ben
译电	yi'dian
译码	yi'ma
译码器	yi'ma'qi
译文	yi'wen
译音	yi'yin
译者	yi'zhe
异步	yi'bu
异步电动机	yi'bu'dian'dong'ji
异彩	yi'cai
异常	yi'chang
异地	yi'di
异端	yi'duan
异构化	yi'gou'hua
异构体	yi'gou'ti
异国	yi'guo
异化	yi'hua
异化作用	yi'hua'zuo'yong
异己	yi'ji
异口同声	yi'kou'tong'sheng
异类	yi'lei
异日	yi'ri
异体	yi'ti
异同	yi'tong
异味	yi'wei
异文	yi'wen
异物	yi'wu
异乡	yi'xiang
异想天开	yi'xiang'tian'kai
异型	yi'xing
异性	yi'xing
异样	yi'yang
异议	yi'yi
异族	yi'zu
翼展	yi'zhan
翌日	yi'ri
荫蔽	yin'bi
荫棚	yin'peng
因此	yin'ci
因次	yin'ci
因地制宜	yin'di'zhi'yi
因而	yin'er
因故	yin'gu
因果	yin'guo
因陋就简	yin'lou'jiu'jian
因人而异	yin'ren'er'yi
因式	yin'shi
因式分解	yin'shi'fen'jie
因势利导	yin'shi'li'dao
因数	yin'shu
因素	yin'su
因为	yin'wei
因袭	yin'xi
因循	yin'xun
因循守旧	yin'xun'shou'jiu
因由	yin'you
因缘	yin'yuan
因子	yin'zi
殷切	yin'qie
殷勤	yin'qin
殷墟	yin'xu
音标	yin'biao
音波	yin'bo
音叉	yin'cha
音程	yin'cheng
音分	yin'fen
音符	yin'fu
音高	yin'gao
音和	yin'he
音阶	yin'jie
音节	yin'jie
音乐	yin'yue
音量	yin'liang
音律	yin'lv
音码	yin'ma
音名	yin'ming
音频	yin'pin
音区	yin'qu
音色	yin'se
音速	yin'su
音位	yin'wei
音响	yin'xiang
音信	yin'xin
音型	yin'xing
音讯	yin'xun
音域	yin'yu
音韵	yin'yun
音质	yin'zhi
音准	yin'zhun
阴暗	yin'an
阴沉	yin'chen
阴道	yin'dao
阴电	yin'dian
阴干	yin'gan
阴极	yin'ji
阴茎	yin'jing
阴离子	yin'li'zi
阴历	yin'li
阴凉	yin'liang
阴谋	yin'mou
阴谋诡计	yin'mou'gui'ji
阴谋家	yin'mou'jia
阴囊	yin'nang
阴森	yin'sen
阴山	yin'shan
阴天	yin'tian
阴险	yin'xian
阴性	yin'xing
阴阳	yin'yang
阴影	yin'ying
阴雨	yin'yu
阴郁	yin'yu
阴云	yin'yun
姻亲	yin'qin
姻缘	yin'yuan
银白	yin'bai
银币	yin'bi
银川	yin'chuan
银川市	yin'chuan'shi
银耳	yin'er
银根	yin'gen
银河	yin'he
银河系	yin'he'xi
银灰	yin'hui
银矿	yin'kuang
银粒	yin'li
银两	yin'liang
银幕	yin'mu
银牌	yin'pai
银器	yin'qi
银钱	yin'qian
银团	yin'tuan
银行	yin'hang
银行信用	yin'hang'xin'yong
银行帐号	yin'hang'zhang'hao
银行资本	yin'hang'zi'ben
银杏	yin'xing
银子	yin'zi
银桦	yin'hua
淫荡	yin'dang
淫秽	yin'hui
淫乱	yin'luan
淫威	yin'wei
饮恨	yin'hen
饮酒	yin'jiu
饮料	yin'liao
饮马河	yin'ma'he
饮食	yin'shi
饮食疗法	yin'shi'liao'fa
饮食业	yin'shi'ye
饮水	yin'shui
引爆	yin'bao
引潮力	yin'chao'li
引出	yin'chu
引导	yin'dao
引得	yin'de
引渡	yin'du
引发	yin'fa
引号	yin'hao
引进	yin'jin
引理	yin'li
引力	yin'li
引流	yin'liu
引路	yin'lu
引起	yin'qi
引桥	yin'qiao
引擎	yin'qing
引人	yin'ren
引人入胜	yin'ren'ru'sheng
引人注目	yin'ren'zhu'mu
引入	yin'ru
引申	yin'shen
引述	yin'shu
引水	yin'shui
引文	yin'wen
引线	yin'xian
引言	yin'yan
引以	yin'yi
引以为傲	yin'yi'wei'ao
引以为耻	yin'yi'wei'chi
引以为戒	yin'yi'wei'jie
引用	yin'yong
引诱	yin'you
引证	yin'zheng
引种	yin'zhong
引子	yin'zi
隐蔽	yin'bi
隐遁	yin'dun
隐伏	yin'fu
隐含	yin'han
隐患	yin'huan
隐居	yin'ju
隐瞒	yin'man
隐匿	yin'ni
隐士	yin'shi
隐型	yin'xing
隐性	yin'xing
隐隐	yin'yin
隐隐约约	yin'yin'yue'yue
隐约	yin'yue
印把子	yin'ba'zi
印第安人	yin'di'an'ren
印度	yin'du
印度尼西亚	yin'du'ni'xi'ya
印度洋	yin'du'yang
印度支那	yin'du'zhi'na
印发	yin'fa
印痕	yin'hen
印花	yin'hua
印尼	yin'ni
印染	yin'ran
印刷	yin'shua
印刷机	yin'shua'ji
印刷体	yin'shua'ti
印象	yin'xiang
印象派	yin'xiang'pai
印信	yin'xin
印行	yin'xing
印章	yin'zhang
印证	yin'zheng
印制	yin'zhi
印子	yin'zi
英镑	ying'bang
英才	ying'cai
英尺	ying'chi
英寸	ying'cun
英德	ying'de
英格兰	ying'ge'lan
英国	ying'guo
英汉	ying'han
英吉利海峡	ying'ji'li'hai'xia
英俊	ying'jun
英里	ying'li
英联邦	ying'lian'bang
英两	ying'liang
英明	ying'ming
英名	ying'ming
英亩	ying'mu
英日	ying'ri
英石	ying'shi
英数	ying'shu
英特网	ying'te'wang
英文	ying'wen
英武	ying'wu
英雄	ying'xiong
英语	ying'yu
英制	ying'zhi
英姿	ying'zi
樱花	ying'hua
樱桃	ying'tao
婴儿	ying'er
婴孩	ying'hai
鹰犬	ying'quan
应按	ying'an
应把	ying'ba
应变	ying'bian
应承	ying'cheng
应酬	ying'chou
应当	ying'dang
应得	ying'de
应对	ying'dui
应否	ying'fou
应付	ying'fu
应该	ying'gai
应和	ying'he
应急	ying'ji
应将	ying'jiang
应考	ying'kao
应力	ying'li
应聘	ying'pin
应声	ying'sheng
应时	ying'shi
应试	ying'shi
应收	ying'shou
应为	ying'wei
应验	ying'yan
应邀	ying'yao
应以	ying'yi
应用	ying'yong
应用技术	ying'yong'ji'shu
应用科学	ying'yong'ke'xue
应由	ying'you
应有	ying'you
应有尽有	ying'you'jin'you
应允	ying'yun
应运	ying'yun
应战	ying'zhan
应征	ying'zheng
应制	ying'zhi
萤火	ying'huo
萤石	ying'shi
营长	yin'zhang
营长	ying'chang
营地	ying'di
营房	ying'fang
营建	ying'jian
营救	ying'jiu
营口	ying'kou
营垒	ying'lei
营利	ying'li
营生	ying'sheng
营私	ying'si
营养	ying'yang
营养繁殖	ying'yang'fan'zhi
营养器官	ying'yang'qi'guan
营养生长	ying'yang'sheng'chang
营养生长	ying'yang'sheng'zhang
营养盐	ying'yang'yan
营养元素	ying'yang'yuan'su
营养状况	ying'yang'zhuang'kuang
营业	ying'ye
营业额	ying'ye'e
营业员	ying'ye'yuan
营造	ying'zao
荧光	ying'guang
荧光粉	ying'guang'fen
荧光屏	ying'guang'ping
迎宾	ying'bin
迎春	ying'chun
迎风	ying'feng
迎和	ying'he
迎合	ying'he
迎击	ying'ji
迎角	ying'jiao
迎接	ying'jie
迎来	ying'lai
迎面	ying'mian
迎刃而解	ying'ren'er'jie
迎送	ying'song
迎头	ying'tou
迎头痛击	ying'tou'tong'ji
迎新	ying'xin
迎战	ying'zhan
赢得	ying'de
赢利	ying'li
盈亏	ying'kui
盈利	ying'li
盈盈	ying'ying
盈余	ying'yu
影集	ying'ji
影片	ying'pian
影评	ying'ping
影射	ying'she
影戏	ying'xi
影响	ying'xiang
影像	ying'xiang
影象	ying'xiang
影印	ying'yin
影院	ying'yuan
影子	ying'zi
硬币	ying'bi
硬度	ying'du
硬骨头	ying'gu'tou
硬骨鱼类	ying'gu'yu'lei
硬化	ying'hua
硬件	ying'jian
硬壳	ying'ke
硬面	ying'mian
硬木	ying'mu
硬盘	ying'pan
硬是	ying'shi
硬水	ying'shui
硬说	ying'shuo
硬性	ying'xing
硬脂	ying'zhi
硬纸板	ying'zhi'ban
硬质合金	ying'zhi'he'jin
映幕	ying'mu
映射	ying'she
映象	ying'xiang
映照	ying'zhao
拥抱	yong'bao
拥兵	yong'bing
拥戴	yong'dai
拥护	yong'hu
拥挤	yong'ji
拥军优属	yong'jun'you'shu
拥有	yong'you
拥政爱民	yong'zheng'ai'min
佣工	yong'gong
佣人	yong'ren
臃肿	yong'zhong
庸人	yong'ren
庸俗	yong'su
庸俗化	yong'su'hua
庸俗进化论	yong'su'jin'hua'lun
雍正	yong'zheng
踊跃	yong'yue
咏叹	yong'tan
涌进	yong'jin
涌入	yong'ru
涌现	yong'xian
永安	yong'an
永别	yong'bie
永不	yong'bu
永不变心	yong'bu'bian'xin
永昌	yong'chang
永垂不朽	yong'chui'bu'xiu
永磁	yong'ci
永定	yong'ding
永定河	yong'ding'he
永动机	yong'dong'ji
永和	yong'he
永恒	yong'heng
永嘉	yong'jia
永久	yong'jiu
永久性	yong'jiu'xing
永久中立国	yong'jiu'zhong'li'guo
永乐	yong'le
永年	yong'nian
永宁	yong'ning
永平	yong'ping
永清	yong'qing
永生	yong'sheng
永胜	yong'sheng
永世	yong'shi
永新	yong'xin
永兴	yong'xing
永远	yong'yuan
永远的	yong'yuan'de
勇敢	yong'gan
勇猛	yong'meng
勇气	yong'qi
勇士	yong'shi
勇往直前	yong'wang'zhi'qian
勇于	yong'yu
用兵	yong'bing
用不了	yong'bu'liao
用材林	yong'cai'lin
用场	yong'chang
用处	yong'chu
用到	yong'dao
用度	yong'du
用法	yong'fa
用费	yong'fei
用功	yong'gong
用光	yong'guang
用过	yong'guo
用户	yong'hu
用户网	yong'hu'wang
用计	yong'ji
用尽	yong'jin
用劲	yong'jin
用旧	yong'jiu
用具	yong'ju
用来	yong'lai
用力	yong'li
用量	yong'liang
用了	yong'le
用命	yong'ming
用品	yong'pin
用钱	yong'qian
用人	yong'ren
用事	yong'shi
用途	yong'tu
用武	yong'wu
用心	yong'xin
用以	yong'yi
用意	yong'yi
用于	yong'yu
用语	yong'yu
用韵	yong'yun
用在	yong'zai
用嘴	yong'zui
幽暗	you'an
幽静	you'jing
幽灵	you'ling
幽明	you'ming
幽默	you'mo
幽深	you'shen
幽幽	you'you
幽州	you'zhou
优待	you'dai
优等	you'deng
优点	you'dian
优抚	you'fu
优厚	you'hou
优化	you'hua
优惠	you'hui
优良	you'liang
优良单株	you'liang'dan'zhu
优劣	you'lie
优美	you'mei
优缺点	you'que'dian
优生学	you'sheng'xue
优胜	you'sheng
优势	you'shi
优先	you'xian
优先发展	you'xian'fa'zhan
优先股	you'xian'gu
优秀	you'xiu
优选	you'xuan
优选法	you'xuan'fa
优异	you'yi
优于	you'yu
优越	you'yue
优越性	you'yue'xing
优质	you'zhi
优质钢	you'zhi'gang
悠长	you'chang
悠久	you'jiu
悠然	you'ran
悠闲	you'xian
悠扬	you'yang
悠悠	you'you
悠远	you'yuan
忧愁	you'chou
忧愤	you'fen
忧患	you'huan
忧患余生	you'huan'yu'sheng
忧虑	you'lv
忧伤	you'shang
忧心忡忡	you'xin'chong'chong
忧郁	you'yu
尤其	you'qi
由此	you'ci
由此可见	you'ci'ke'jian
由来	you'lai
由来已久	you'lai'yi'jiu
由头	you'tou
由于	you'yu
由余	you'yu
由中	you'zhong
由衷	you'zhong
邮出	you'chu
邮戳	you'chuo
邮递	you'di
邮电	you'dian
邮电部	you'dian'bu
邮购	you'gou
邮寄	you'ji
邮件	you'jian
邮局	you'ju
邮票	you'piao
邮箱	you'xiang
邮政	you'zheng
邮政编码	you'zheng'bian'ma
邮址	you'zhi
铀矿	you'kuang
犹如	you'ru
犹太	you'tai
犹太复国主义	you'tai'fu'guo'zhu'yi
犹太人	you'tai'ren
犹疑	you'yi
犹豫	you'yu
犹豫不决	you'yu'bu'jue
油泵	you'beng
油饼	you'bing
油布	you'bu
油菜	you'cai
油槽	you'cao
油层	you'ceng
油茶	you'cha
油船	you'chuan
油灯	you'deng
油坊	you'fang
油管	you'guan
油罐	you'guan
油光	you'guang
油锅	you'guo
油滑	you'hua
油画	you'hua
油灰	you'hui
油井	you'jing
油锯	you'ju
油库	you'ku
油矿	you'kuang
油类	you'lei
油料	you'liao
油料作物	you'liao'zuo'wu
油绿	you'lv
油轮	you'lun
油门	you'men
油墨	you'mo
油泥	you'ni
油腻	you'ni
油漆	you'qi
油气	you'qi
油水	you'shui
油松	you'song
油酸	you'suan
油田	you'tian
油条	you'tiao
油桐	you'tong
油桶	you'tong
油污	you'wu
油箱	you'xiang
油性	you'xing
油压	you'ya
油印	you'yin
油毡	you'zhan
油脂	you'zhi
油纸	you'zhi
油棕	you'zong
游标	you'biao
游标卡尺	you'biao'ka'chi
游荡	you'dang
游动	you'dong
游击	you'ji
游击战	you'ji'zhan
游记	you'ji
游客	you'ke
游览	you'lan
游乐	you'le
游离	you'li
游历	you'li
游民	you'min
游牧	you'mu
游人	you'ren
游手好闲	you'shou'hao'xian
游说	you'shuo
游艇	you'ting
游玩	you'wan
游戏	you'xi
游行	you'xing
游艺	you'yi
游泳	you'yong
游泳池	you'yong'chi
游园	you'yuan
游资	you'zi
游子	you'zi
有碍	you'ai
有案可稽	you'an'ke'ji
有本事	you'ben'shi
有产阶级	you'chan'jie'ji
有产者	you'chan'zhe
有偿	you'chang
有偿转让	you'chang'zhuan'rang
有成	you'cheng
有错	you'cuo
有待	you'dai
有道	you'dao
有德	you'de
有得	you'de
有的	you'de
有的放矢	you'de'fang'shi
有的是	you'de'shi
有底	you'di
有点	you'dian
有方	you'fang
有个	you'ge
有根有据	you'gen'you'ju
有功	you'gong
有关	you'guan
有光	you'guang
有鬼	you'gui
有过	you'guo
有害	you'hai
有何特长	you'he'te'chang
有机	you'ji
有机玻璃	you'ji'bo'li
有机肥料	you'ji'fei'liao
有机合成	you'ji'he'cheng
有机化合物	you'ji'hua'he'wu
有机化学	you'ji'hua'xue
有机体	you'ji'ti
有机质	you'ji'zhi
有计划	you'ji'hua
有家	you'jia
有间	you'jian
有劲	you'jin
有旧	you'jiu
有客	you'ke
有赖	you'lai
有劳	you'lao
有理	you'li
有理方程	you'li'fang'cheng
有礼	you'li
有利	you'li
有利可图	you'li'ke'tu
有利于	you'li'yu
有力	you'li
有了	you'le
有零	you'ling
有没有	you'mei'you
有名	you'ming
有名无实	you'ming'wu'shi
有目共睹	you'mu'gong'du
有年	you'nian
有期徒刑	you'qi'tu'xing
有气无力	you'qi'wu'li
有钱	you'qian
有钱人	you'qian'ren
有情	you'qing
有情人	you'qing'ren
有请	you'qing
有求必应	you'qiu'bi'ying
有趣	you'qu
有权	you'quan
有人	you'ren
有如	you'ru
有色	you'se
有色金属	you'se'jin'shu
有色人种	you'se'ren'zhong
有身	you'shen
有神	you'shen
有神论	you'shen'lun
有神论者	you'shen'lun'zhe
有声有色	you'sheng'you'se
有生力量	you'sheng'li'liang
有失	you'shi
有失水准	you'shi'shui'zhun
有时	you'shi
有识	you'shi
有事	you'shi
有恃无恐	you'shi'wu'kong
有数	you'shu
有司	you'si
有丝分裂	you'si'fen'lie
有所	you'suo
有所不为	you'suo'bu'wei
有所为	you'suo'wei
有所作为	you'suo'zuo'wei
有条不紊	you'tiao'bu'wen
有条有理	you'tiao'you'li
有为	you'wei
有谓	you'wei
有误	you'wu
有喜	you'xi
有隙可乘	you'xi'ke'cheng
有现货	you'xian'huo
有限	you'xian
有限公司	you'xian'gong'si
有线	you'xian
有线电视	you'xian'dian'shi
有线广播	you'xian'guang'bo
有效	you'xiao
有效氯	you'xiao'lv
有效面积	you'xiao'mian'ji
有效期	you'xiao'qi
有效数字	you'xiao'shu'zi
有效性	you'xiao'xing
有效值	you'xiao'zhi
有些	you'xie
有心	you'xin
有心人	you'xin'ren
有形	you'xing
有性	you'xing
有性生殖	you'xing'sheng'zhi
有性杂交	you'xing'za'jiao
有言在先	you'yan'zai'xian
有眼无珠	you'yan'wu'zhu
有一套	you'yi'tao
有意	you'yi
有意识	you'yi'shi
有意思	you'yi'si
有益	you'yi
有用	you'yong
有用功	you'yong'gong
有余	you'yu
有源	you'yuan
有志气	you'zhi'qi
有志青年	you'zhi'qing'nian
有志者事竟成	you'zhi'zhe'shi'jing'cheng
有种	you'zhong
有助于	you'zhu'yu
友爱	you'ai
友邦	you'bang
友好	you'hao
友好代表团	you'hao'dai'biao'tuan
友军	you'jun
友情	you'qing
友人	you'ren
友生	you'sheng
友协	you'xie
友谊	you'yi
右边	you'bian
右的	you'de
右耳	you'er
右方	you'fang
右军	you'jun
右面	you'mian
右派	you'pai
右倾	you'qing
右倾机会主义	you'qing'ji'hui'zhu'yi
右手	you'shou
右手定则	you'shou'ding'ze
右首	you'shou
右文	you'wen
右舷	you'xian
右翼	you'yi
釉陶	you'tao
诱虫	you'chong
诱虫灯	you'chong'deng
诱导	you'dao
诱饵	you'er
诱发	you'fa
诱拐	you'guai
诱惑	you'huo
诱奸	you'jian
诱降	you'xiang
诱骗	you'pian
诱杀	you'sha
诱胁	you'xie
诱掖	you'ye
诱掖青年	you'ye'qing'nian
诱因	you'yin
诱致	you'zhi
又把	you'ba
又被	you'bei
又吃	you'chi
又对	you'dui
又给	you'gei
又喝	you'he
又红又专	you'hong'you'zhuan
又会	you'hui
又及	you'ji
又急又惊	you'ji'you'jing
又叫	you'jiao
又可	you'ke
又来	you'lai
又能	you'neng
又如	you'ru
又是	you'shi
又睡	you'shui
又玩	you'wan
又闻	you'wen
又要	you'yao
又一	you'yi
又有	you'you
又在	you'zai
幼虫	you'chong
幼儿	you'er
幼儿教育	you'er'jiao'yu
幼儿园	you'er'yuan
幼根	you'gen
幼功	you'gong
幼林	you'lin
幼龄林	you'ling'lin
幼苗	you'miao
幼年	you'nian
幼体	you'ti
幼小	you'xiao
幼芽	you'ya
幼稚	you'zhi
幼稚病	you'zhi'bing
幼稚园	you'zhi'yuan
幼株	you'zhu
幼子	you'zi
迂道	yu'dao
迂夫子	yu'fu'zi
迂腐	yu'fu
迂缓	yu'huan
迂回	yu'hui
迂阔	yu'kuo
迂阔之论	yu'kuo'zhi'lun
迂论	yu'lun
迂曲	yu'qu
迂拙	yu'zhuo
淤地	yu'di
淤灌	yu'guan
淤积	yu'ji
淤泥	yu'ni
淤塞	yu'se
淤血	yu'xue
淤滞	yu'zhi
于此	yu'ci
于飞	yu'fei
于今	yu'jin
于七	yu'qi
于是	yu'shi
于是乎	yu'shi'hu
于思	yu'si
于田	yu'tian
于于	yu'yu
榆荚	yu'jia
榆钱	yu'qian
榆钱树	yu'qian'shu
榆树	yu'shu
榆叶梅	yu'ye'mei
虞美人	yu'mei'ren
愚笨	yu'ben
愚蠢	yu'chun
愚弟	yu'di
愚公移山	yu'gong'yi'shan
愚陋	yu'lou
愚鲁	yu'lu
愚氓	yu'meng
愚昧	yu'mei
愚昧无知	yu'mei'wu'zhi
愚蒙	yu'meng
愚民	yu'min
愚民政策	yu'min'zheng'ce
愚弄	yu'nong
愚懦	yu'nuo
愚人	yu'ren
愚顽	yu'wan
愚妄	yu'wang
愚拙	yu'zhuo
舆论	yu'lun
舆论哗然	yu'lun'hua'ran
舆论界	yu'lun'jie
舆情	yu'qing
舆情激昂	yu'qing'ji'ang
舆台	yu'tai
舆图	yu'tu
余波	yu'bo
余步	yu'bu
余存	yu'cun
余党	yu'dang
余地	yu'di
余毒	yu'du
余额	yu'e
余风	yu'feng
余割	yu'ge
余悸	yu'ji
余家	yu'jia
余角	yu'jiao
余烬	yu'jin
余利	yu'li
余沥	yu'li
余粮	yu'liang
余粮收集制	yu'liang'shou'ji'zhi
余氯	yu'lv
余年	yu'nian
余切	yu'qie
余缺	yu'que
余生	yu'sheng
余剩	yu'sheng
余数	yu'shu
余外	yu'wai
余威	yu'wei
余味	yu'wei
余味无穷	yu'wei'wu'qiong
余暇	yu'xia
余下	yu'xia
余弦	yu'xian
余弦定理	yu'xian'ding'li
余兴	yu'xing
余蓄	yu'xu
余姚	yu'yao
余音	yu'yin
余音绕梁	yu'yin'rao'liang
余音缭绕	yu'yin'liao'rao
余勇	yu'yong
余勇可贾	yu'yong'ke'gu
余韵	yu'yun
余震	yu'zhen
俞允	yu'yun
逾常	yu'chang
逾额	yu'e
逾分	yu'fen
逾期	yu'qi
逾甚	yu'shen
逾限	yu'xian
逾越	yu'yue
鱼白	yu'bai
鱼叉	yu'cha
鱼池	yu'chi
鱼翅	yu'chi
鱼虫	yu'chong
鱼唇	yu'chun
鱼道	yu'dao
鱼肚	yu'du
鱼肚白	yu'du'bai
鱼饵	yu'er
鱼粉	yu'fen
鱼肝	yu'gan
鱼肝油	yu'gan'you
鱼狗	yu'gou
鱼鼓	yu'gu
鱼鼓道情	yu'gu'dao'qing
鱼贯	yu'guan
鱼贯而行	yu'guan'er'xing
鱼贯入场	yu'guan'ru'chang
鱼花	yu'hua
鱼胶	yu'jiao
鱼具	yu'ju
鱼口	yu'kou
鱼雷	yu'lei
鱼雷艇	yu'lei'ting
鱼类	yu'lei
鱼类学	yu'lei'xue
鱼鳞	yu'lin
鱼鳞坑	yu'lin'keng
鱼鳞松	yu'lin'song
鱼龙	yu'long
鱼龙混杂	yu'long'hun'za
鱼卵	yu'luan
鱼米之乡	yu'mi'zhi'xiang
鱼苗	yu'miao
鱼目	yu'mu
鱼目混珠	yu'mu'hun'zhu
鱼片	yu'pian
鱼漂	yu'piao
鱼群	yu'qun
鱼肉	yu'rou
鱼生	yu'sheng
鱼石	yu'shi
鱼石脂	yu'shi'zhi
鱼水	yu'shui
鱼水情	yu'shui'qing
鱼松	yu'song
鱼塘	yu'tang
鱼藤	yu'teng
鱼丸	yu'wan
鱼网	yu'wang
鱼尾	yu'wei
鱼鲜	yu'xian
鱼腥	yu'xing
鱼腥草	yu'xing'cao
鱼讯	yu'xun
鱼秧子	yu'yang'zi
鱼鹰	yu'ying
鱼油	yu'you
鱼游釜中	yu'you'fu'zhong
鱼种	yu'zhong
鱼子	yu'zi
鱼子酱	yu'zi'jiang
鱼鳔	yu'biao
愉快	yu'kuai
愉悦	yu'yue
渔霸	yu'ba
渔场	yu'chang
渔船	yu'chuan
渔夫	yu'fu
渔港	yu'gang
渔歌	yu'ge
渔获量	yu'huo'liang
渔具	yu'ju
渔捞	yu'lao
渔利	yu'li
渔猎	yu'lie
渔轮	yu'lun
渔民	yu'min
渔期	yu'qi
渔区	yu'qu
渔网	yu'wang
渔翁	yu'weng
渔翁得利	yu'weng'de'li
渔汛	yu'xun
渔业	yu'ye
予取予求	yu'qu'yu'qiu
予人口实	yu'ren'kou'shi
予以	yu'yi
予以便利	yu'yi'bian'li
予以表扬	yu'yi'biao'yang
予以批评	yu'yi'pi'ping
予以照顾	yu'yi'zhao'gu
娱记	yu'ji
娱乐	yu'le
娱乐场所	yu'le'chang'suo
娱乐活动	yu'le'huo'dong
雨点	yu'dian
雨后	yu'hou
雨后春笋	yu'hou'chun'sun
雨季	yu'ji
雨脚	yu'jiao
雨具	yu'ju
雨量	yu'liang
雨量器	yu'liang'qi
雨露	yu'lu
雨幕	yu'mu
雨前	yu'qian
雨情	yu'qing
雨伞	yu'san
雨水	yu'shui
雨水管	yu'shui'guan
雨天	yu'tian
雨蛙	yu'wa
雨雪	yu'xue
雨衣	yu'yi
雨意	yu'yi
与此同时	yu'ci'tong'shi
与共	yu'gong
与国	yu'guo
与虎谋皮	yu'hu'mou'pi
与会	yu'hui
与会者	yu'hui'zhe
与其	yu'qi
与人为善	yu'ren'wei'shan
与日俱增	yu'ri'ju'zeng
与世长辞	yu'shi'chang'ci
与与	yu'yu
与众不同	yu'zhong'bu'tong
宇航	yu'hang
宇文化及	yu'wen'hua'ji
宇文泰	yu'wen'tai
宇宙	yu'zhou
